Node	Beg	End
GCA_021726795.1	3612262	3612316
GCA_021727215.1	2825664	2825762
GCA_021727215.1	3443991	3443993
GCA_021727245.1	2824475	2825762
GCA_021727285.1	1595506	1595554
GCA_021727285.1	2825664	2825762
GCA_021727355.1	2825664	2825762
GCA_021727415.1	2823530	2826861
GCA_021727455.1	2823059	2825762
GCA_021727495.1	2824091	2824211
GCA_021727615.1	2823530	2823728
GCA_021727635.1	2823059	2823836
GCA_021727655.1	3612262	3612316
GCA_021727815.1	2823530	2823836
GCA_021727855.1	2824091	2825123
GCA_022052845.1	3308811	3308848
GCA_022052845.1	3313153	3313504
GCA_022053725.1	3312865	3314548
GCA_022053725.1	3328649	3328772
GCA_022053745.1	3325905	3327181
GCA_022261595.1	3306817	3308950
GCA_022261595.1	3310552	3314137
GCA_022261595.1	3316551	3316875
GCA_022261595.1	3319552	3321109
GCA_022261595.1	3330783	3330790
GCA_022261715.1	3316165	3316875
GCA_022261875.1	3307255	3307290
GCA_022261935.1	3315967	3316981
GCA_022261975.1	3320908	3321013
GCA_022262095.1	3315514	3315538
GCA_022262735.1	3315967	3316981
GCA_022262795.1	3306832	3307302
GCA_022559085.1	2124893	2125205
GCA_022559085.1	2126929	2127977
GCA_022850575.1	2576990	2577008
GCA_022850785.1	2576663	2577112
GCA_022850865.1	2824211	2824501
GCA_022851085.1	2823836	2824501
GCA_022851125.1	457803	457809
GCA_022851515.1	2824917	2825123
GCA_022851785.1	2824917	2825762
GCA_022854875.1	2823059	2826861
GCA_022855225.1	2823728	2824091
GCA_022856265.1	2823435	2823629
GCA_022856265.1	2826032	2826861
GCA_022856865.1	2824091	2825088
GCA_022857775.1	2823059	2826861
GCA_022857825.1	2823059	2825762
GCA_022857865.1	2823435	2824476
GCA_022858785.1	3308263	3316220
GCA_022859165.1	2826032	2826305
GCA_022860665.1	1026166	1026181
GCA_022861005.1	3341848	3342592
GCA_022861005.1	3350460	3351252
GCA_022861005.1	3354651	3356228
GCA_022862105.1	2576575	2576660
GCA_022862385.1	2826267	2826305
GCA_023887825.1	2823836	2824917
GCA_023887825.1	4107890	4107915
GCA_023892905.1	1595527	1595541
GCA_023892905.1	2823059	2824917
GCA_023893045.1	2823059	2824501
GCA_023893095.1	4098076	4098091
GCA_025572445.1	5095252	5095268
GCA_025572455.1	2160377	2160388
GCA_025572455.1	2823059	2824259
GCA_025572455.1	2924131	2924213
GCA_025572465.1	4503858	4503893
GCA_025572505.1	264810	264828
GCA_025572505.1	369158	369170
GCA_025572505.1	2823530	2824476
GCA_025572505.1	3279742	3279771
GCA_025572505.1	4180110	4180130
GCA_025572525.1	2826267	2826305
GCA_025572525.1	4098076	4098093
GCA_025572565.1	4496262	4496328
GCA_025572585.1	513068	513089
GCA_025572585.1	5095254	5095265
GCA_026153685.1	2823435	2823629
GCA_026153685.1	3001431	3001436
GCA_026154015.1	2826267	2826305
GCA_026154085.1	4496262	4496328
GCA_026156535.1	3315712	3334472
GCA_026156535.1	3336772	3337001
GCA_026156535.1	3340708	3342592
GCA_026156535.1	3344672	3344753
GCA_026156535.1	3351005	3352597
GCA_026156535.1	3354539	3359234
GCA_026161645.1	1026166	1026181
GCA_026161685.1	1026166	1026181
GCA_026161685.1	1387478	1387664
GCA_026161685.1	2823435	2824476
GCA_026161905.1	2823059	2825762
GCA_026161925.1	2823059	2825762
GCA_026162015.1	2823059	2826861
GCA_026162085.1	1387592	1387664
GCA_026162085.1	3612262	3612316
GCA_026162115.1	1026166	1026181
GCA_026162115.1	2823059	2825762
GCA_026162145.1	1026166	1026181
GCA_026162145.1	2823059	2825762
GCA_026162145.1	3612262	3612316
GCA_026163915.1	1026166	1026181
GCA_026163975.1	1387592	1387664
GCA_026163975.1	3612262	3612316
GCA_026164015.1	1026166	1026181
GCA_026164015.1	2823435	2826861
GCA_026164015.1	3612262	3612316
GCA_026164045.1	1026166	1026181
GCA_026164045.1	1387592	1387664
GCA_026164235.1	1026057	1026072
GCA_026164275.1	1026166	1026181
GCA_026164325.1	1026166	1026181
GCA_026164325.1	1387592	1387661
GCA_028225725.1	2880417	2880440
GCA_028226215.1	3443991	3444080
GCA_029457375.1	3443991	3444080
GCA_029523635.1	3323973	3326738
GCA_029523635.1	3328592	3328943
GCA_030282885.1	4098064	4098093
GCA_033110645.1	2576854	2577050
GCA_033111695.1	3306817	3330824
GCA_033111695.1	3333739	3333883
GCA_033111885.1	3307744	3309577
GCA_033111885.1	3311129	3330773
GCA_033112605.1	2823059	2823440
GCA_033113945.1	3307744	3330773
GCA_033113985.1	3491544	3491550
GCA_033115055.1	1412299	1412327
GCA_033117875.1	3322947	3324925
GCA_033117875.1	3328571	3328743
GCA_033118375.1	2576854	2577050
GCA_033119045.1	2823059	2825123
GCA_034082005.1	3306952	3307336
GCA_034082005.1	3316576	3316969
GCA_034082005.1	3319435	3319501
GCA_034082005.1	3330783	3330857
GCA_034082005.1	3333691	3334248
GCA_034361105.1	3326570	3326738
GCA_034361225.1	3125804	3126250
GCA_034361655.1	3314379	3318067
GCA_034361655.1	3319654	3330644
GCA_034361885.1	3307744	3309577
GCA_034361885.1	3311129	3330773
GCA_034362065.1	4428195	4428201
GCA_034362665.1	4428195	4428201
GCA_034362715.1	4428195	4428201
GCA_034362775.1	3443991	3443998
GCA_034362775.1	4428195	4428201
GCA_034362875.1	4428195	4428201
GCA_034363095.1	4428195	4428201
GCA_034363465.1	4428195	4428201
GCA_034363845.1	4428195	4428201
GCA_034363985.1	2426823	2427152
GCA_034364125.1	4428195	4428201
GCA_034364225.1	4428195	4428201
GCA_034364325.1	4428195	4428201
GCA_034390135.1	3320008	3320300
GCA_034390215.1	1421068	1421387
GCA_034390215.1	1815763	1815876
GCA_034390215.1	3306817	3306946
GCA_034390215.1	3310519	3310974
GCA_034390215.1	4916662	4916690
GCA_034390255.1	4838196	4838220
GCA_034390285.1	3311482	3312307
GCA_034390285.1	3326570	3326718
GCA_034390415.1	1421068	1421554
GCA_034390415.1	3320917	3321083
GCA_034390415.1	3326570	3326718
GCA_034390495.1	3306817	3306946
GCA_034390495.1	3443991	3443998
GCA_034390615.1	3306832	3306898
GCA_034390615.1	3311431	3312307
GCA_034390615.1	3320008	3321112
GCA_034390655.1	3306832	3306898
GCA_034390655.1	3326495	3326738
GCA_034390855.1	3344672	3344753
GCA_034390975.1	1405279	1405360
GCA_034390975.1	1411805	1412327
GCA_034390975.1	1422216	1423575
GCA_034391985.1	4428186	4428201
GCA_034393075.1	4428186	4428201
GCA_034393195.1	4428195	4428201
GCA_034393315.1	4428195	4428201
GCA_034394235.1	3306832	3306898
GCA_034394235.1	3308713	3309187
GCA_034394235.1	3328649	3328772
GCA_034394245.1	3324662	3324850
GCA_034395715.1	2577044	2577050
GCA_034396785.1	3328571	3328743
GCA_034396785.1	4428195	4428201
GCA_034396855.1	3306817	3306965
GCA_034396855.1	3320807	3321013
GCA_034396875.1	1815763	1815876
GCA_034396875.1	3306817	3306946
GCA_034396875.1	3320008	3321112
GCA_034396875.1	3326495	3326738
GCA_034396935.1	3320067	3320270
GCA_034396995.1	3308713	3309142
GCA_034396995.1	3326495	3326738
GCA_034397095.1	3311482	3312298
GCA_034397095.1	3320067	3320270
GCA_034397095.1	3326570	3326718
GCA_034397095.1	4428195	4428201
GCA_034397135.1	3306817	3306946
GCA_034397135.1	3311431	3312298
GCA_034397135.1	3328512	3328772
GCA_034397155.1	3306832	3306898
GCA_034397155.1	3308713	3309142
GCA_034397155.1	3311491	3312307
GCA_034397155.1	3326495	3326738
GCA_034397215.1	3306817	3306946
GCA_034397215.1	3308713	3309142
GCA_034397215.1	3311491	3312307
GCA_034554935.1	4098076	4098093
GCA_034554955.1	3314379	3318067
GCA_034554955.1	3319654	3330644
GCA_034554955.1	4098071	4098093
GCA_036577405.1	2576575	2576660
GCA_036577405.1	2824091	2824259
GCA_036577405.1	3443992	3444058
GCA_039613155.1	2824091	2824501
GCA_039613155.1	3443991	3443998
GCA_039613185.1	3443991	3443993
GCA_039613255.1	2825664	2825762
GCA_039613255.1	4098071	4098093
GCA_039613315.1	2825664	2825762
GCA_039613315.1	2879563	2879612
GCA_039613315.1	3443992	3443998
GCA_041345885.1	3443992	3444080
GCA_041345905.1	3443992	3444080
GCA_041345935.1	3443992	3444080
GCA_041346085.1	2823059	2826861
GCA_041346125.1	2879566	2879612
GCA_041346165.1	4098071	4098093
GCA_041346245.1	2879563	2880418
GCA_041346245.1	4098071	4098093
GCA_041346305.1	1595522	1595536
GCA_041346305.1	3443991	3443998
GCA_041346425.1	2879590	2880440
GCA_041346425.1	3443992	3444058
GCA_041346425.1	4098083	4098085
GCA_041346645.1	4098071	4098093
GCA_041346735.1	1595512	1595546
GCA_041346735.1	2824091	2825762
GCA_041346735.1	3443992	3443998
GCA_041346755.1	3443992	3444058
GCA_041346755.1	4098071	4098093
GCA_041346855.1	3443992	3444058
GCA_041346855.1	4098071	4098093
GCA_041386005.1	2576454	2576660
GCA_041388435.1	4098071	4098093
GCA_041388605.1	3605239	3605266
GCA_041388625.1	3023875	3025486
GCA_041388685.1	4098071	4098093
GCA_041388705.1	2117834	2118100
GCA_041388705.1	2124340	2124634
GCA_041388725.1	3023294	3023520
GCA_041388725.1	3025117	3025291
GCA_041388735.1	4837821	4838210
GCA_041388965.1	2577044	2577050
GCA_042973135.1	3323698	3326555
GCA_042973135.1	3328598	3328822
GCA_042973165.1	3328571	3328743
GCA_043359875.1	2823435	2823836
GCA_044429355.1	1026057	1026072
GCA_044429355.1	4098071	4098093
GCA_044429485.1	1026057	1026072
GCA_044429785.1	2823059	2823629
GCA_044429785.1	2826267	2826605
GCA_044429805.1	4098076	4098093
GCA_045181125.1	1926590	1929028
GCA_045181675.1	1902800	1912822
GCA_045182045.1	1905123	1905669
GD4039	1903063	1912822
NODE_840	4098079	4098091
NODE_845	1928762	1929028
NODE_846	1887157	1896698
NODE_846	1904356	1911527
NODE_846	1928699	1928891
NODE_847	1903696	1911527
NODE_847	1928699	1928891
NODE_857	1911731	1912822
NODE_857	1928699	1928891
NODE_858	1902800	1904312
NODE_860	1898630	1901206
NODE_861	1919407	1924575
NODE_861	1926187	1929187
NODE_863	2825664	2825762
NODE_872	1902800	1911527
NODE_873	1905123	1905669
NODE_873	1930366	1930405
NODE_874	3443991	3443998
NODE_876	2823059	2826861
NODE_879	1905240	1905609
NODE_880	1906415	1906794
NODE_880	1909994	1913854
NODE_880	1915616	1918916
NODE_883	1904584	1906855
NODE_883	1912958	1913417
NODE_883	1917878	1918170
NODE_883	1930221	1930327
NODE_894	4098076	4098083
NODE_901	2364910	2364928
NODE_901	2823530	2824259
NODE_901	2826267	2826305
NODE_901	4180116	4180134
NODE_906	1026057	1026072
NODE_908	513071	513159
NODE_917	1026166	1026181
NODE_922	1026166	1026181
NODE_922	3612262	3612316
NODE_923	2823530	2824476
NODE_928	2826267	2826605
NODE_930	1026057	1026072
NODE_932	2826267	2826605
NODE_936	1026057	1026072
NODE_937	2576575	2577112
NODE_941	1377187	1385912
NODE_941	1411757	1412348
NODE_941	2576771	2576996
NODE_941	2823059	2826861
NODE_941	3311941	3328743
NODE_941	3330365	3334614
NODE_941	3336202	3337478
NODE_941	3340659	3342732
NODE_941	3350556	3350848
NODE_941	3354696	3358591
NODE_950	2576732	2576876
NODE_951	1376186	1377071
NODE_951	1391571	1394311
NODE_951	1412202	1412314
NODE_951	2576769	2577032
NODE_951	3612262	3612316
NODE_953	2823059	2824106
NODE_953	2825754	2826861
NODE_958	2823435	2825123
NODE_964	1026166	1026181
NODE_964	2576489	2577008
NODE_964	2824091	2825762
NODE_965	3443992	3443998
NODE_971	2824091	2826861
NODE_972	2823836	2824259
NODE_972	2826032	2826305
NODE_973	2823435	2824476
NODE_974	2824476	2825123
NODE_975	2824475	2826305
NODE_976	2824106	2825762
NODE_982	2823530	2823728
NODE_984	1026057	1026072
NODE_984	2823435	2824917
NODE_987	1026057	1026072
NODE_987	2824475	2824917
NODE_989	2825664	2825762
NODE_993	2823435	2823629
NODE_993	3443992	3443998
NODE_996	2825664	2826861
NODE_997	2826267	2826305
NODE_1005	1387592	1387664
NODE_1007	1387478	1387496
NODE_1007	2823438	2824917
NODE_1009	3443992	3444080
NODE_1015	2824091	2824476
NODE_1018	2826032	2826305
NODE_1033	2576990	2577050
NODE_1038	2577038	2577050
NODE_1040	2823530	2823728
NODE_1044	2824475	2825762
NODE_1046	1387592	1387664
NODE_1046	2823435	2823440
NODE_1052	457803	457809
NODE_1054	2576575	2576660
NODE_1054	2824475	2825664
NODE_1058	2576575	2577050
NODE_1060	2823059	2824917
NODE_1060	3443992	3444080
NODE_1061	1026166	1026181
NODE_1063	2824475	2826032
NODE_1063	3125315	3125852
NODE_1065	2824091	2824476
NODE_1068	2824091	2824917
NODE_1078	2576663	2576886
NODE_1078	2826032	2826305
NODE_1079	2823836	2826861
NODE_1079	3443991	3444058
NODE_1080	3443992	3444058
NODE_1092	3443995	3443998
NODE_1099	2823435	2823728
NODE_1106	2823530	2823836
NODE_1111	3443991	3444080
NODE_1116	2823597	2826861
NODE_1117	2823728	2824211
NODE_1123	3057523	3060261
NODE_1123	3061812	3065014
NODE_1123	3135531	3136004
NODE_1128	2823435	2825762
NODE_1128	3443991	3443998
NODE_1129	2826032	2826305
NODE_1131	2822712	2824476
NODE_1132	2576585	2576633
NODE_1153	2826267	2826305
NODE_1159	3612262	3612316
NODE_1163	3443991	3444080
NODE_1167	2824475	2824501
NODE_1169	2823059	2824259
NODE_1170	2824091	2825123
NODE_1170	3612262	3612316
NODE_1171	1387478	1387496
NODE_1173	2576585	2576602
NODE_1174	2824091	2825762
NODE_1178	2576575	2576783
NODE_1190	2576711	2576854
NODE_1196	2576522	2577050
NODE_1211	2823059	2824501
NODE_1214	2576663	2576726
NODE_1214	3443991	3444058
NODE_1216	2824475	2824917
NODE_1220	3316633	3317076
NODE_1220	3321813	3323436
NODE_1220	3327122	3327158
NODE_1220	3330232	3330824
NODE_1220	3333711	3333883
NODE_1223	4428195	4428201
NODE_1228	3612262	3612316
NODE_1229	2825664	2825762
NODE_1234	4098071	4098093
NODE_1238	2576585	2576886
NODE_1240	3314379	3318067
NODE_1240	3319654	3330644
NODE_1244	2576711	2576738
NODE_1246	2576522	2576738
NODE_1248	2577044	2577050
NODE_1254	3443992	3444080
NODE_1255	2823059	2826155
NODE_1256	2823059	2825088
NODE_1260	4098071	4098093
NODE_1261	4098071	4098093
NODE_1262	2576702	2577112
NODE_1262	2823435	2823728
NODE_1271	2824917	2825762
NODE_1273	1411805	1412270
NODE_1275	2576575	2576660
NODE_1277	3315712	3334472
NODE_1277	3336772	3337001
NODE_1277	3340708	3342592
NODE_1277	3351005	3352597
NODE_1277	3354539	3359234
NODE_1303	1387613	1387664
NODE_1304	1387478	1387601
NODE_1313	2823059	2825762
NODE_1327	2576522	2576738
NODE_1342	2825664	2825762
NODE_1351	2826032	2826861
NODE_1353	2576575	2577050
NODE_1374	2826272	2826301
NODE_1379	2823530	2825123
NODE_1380	3127957	3128284
NODE_1381	2823059	2825762
NODE_1381	3127933	3128278
NODE_1382	2576489	2577112
NODE_1382	3612262	3612316
NODE_1388	3125804	3126250
NODE_1397	2577044	2577050
NODE_1434	3125804	3126250
NODE_1437	3125804	3126250
NODE_1468	3125804	3126250
NODE_1472	3125804	3126250
NODE_1474	3312865	3314677
NODE_1474	3324624	3324766
NODE_1474	3326495	3326971
NODE_1482	2117940	2118100
NODE_1543	3125804	3126250
NODE_1570	3125804	3126250
NODE_1581	3314379	3318067
NODE_1581	3319654	3330644
NODE_1581	4348827	4348869
NODE_1584	3322935	3324871
NODE_1585	3308848	3309103
NODE_1586	3306832	3330764
NODE_1591	2576874	2577097
NODE_1591	3309142	3318354
NODE_1591	3324662	3324871
NODE_1593	3308683	3308821
NODE_1593	3326585	3326971
NODE_1594	3311491	3312307
NODE_1594	3320765	3321083
NODE_1595	3324662	3324850
NODE_1597	3306832	3306868
NODE_1597	3311482	3312298
NODE_1597	3328571	3328743
NODE_1598	3324035	3324766
NODE_1602	3311491	3312307
NODE_1603	1815763	1815876
NODE_1603	3320908	3321112
NODE_1603	3323973	3324140
NODE_1607	3306817	3306946
NODE_1608	2576576	2576636
NODE_1608	3306952	3309103
NODE_1608	3316633	3316981
NODE_1609	3307216	3307302
NODE_1613	3307744	3309577
NODE_1613	3311129	3330773
NODE_1614	3307744	3309577
NODE_1614	3311129	3318028
NODE_1614	3319513	3330800
NODE_1614	3333649	3333883
NODE_1617	1815763	1815876
NODE_1618	3308713	3309142
NODE_1619	3316576	3316923
NODE_1620	3306817	3306946
NODE_1620	3311497	3312367
NODE_1620	3328512	3328772
NODE_1621	3307105	3307276
NODE_1621	3316576	3316969
NODE_1621	3323973	3324140
NODE_1621	3326633	3326714
NODE_1621	3328592	3328740
NODE_1623	3306952	3307489
NODE_1623	3326633	3326714
NODE_1623	3328592	3328740
NODE_1624	3308683	3309187
NODE_1624	3323973	3324140
NODE_1628	3308848	3309043
NODE_1630	3308881	3309070
NODE_1631	3309758	3309997
NODE_1632	3309037	3309103
NODE_1633	3309739	3310009
NODE_1634	3326495	3326738
NODE_1636	3306817	3316981
NODE_1636	3319552	3322224
NODE_1636	3323913	3324871
NODE_1636	3326585	3327293
NODE_1636	3330437	3330824
NODE_1636	3333877	3333883
NODE_1636	3612307	3612466
NODE_1637	3306817	3306946
NODE_1637	3308683	3314677
NODE_1637	3320144	3322224
NODE_1637	3323913	3324871
NODE_1637	3326932	3327293
NODE_1639	3307744	3309577
NODE_1639	3311129	3330773
NODE_1640	1026166	1026181
NODE_1640	3306817	3318477
NODE_1640	3320917	3322224
NODE_1640	3323913	3324871
NODE_1640	3326585	3327293
NODE_1642	3306817	3316981
NODE_1642	3319552	3322224
NODE_1642	3323913	3324871
NODE_1642	3326585	3327293
NODE_1642	3330437	3330800
NODE_1643	3306817	3316981
NODE_1643	3319552	3322224
NODE_1643	3323913	3324871
NODE_1643	3326585	3327293
NODE_1643	3333877	3333883
NODE_1648	3315967	3316551
NODE_1648	3320067	3320270
NODE_1651	3306832	3316981
NODE_1651	3319654	3322224
NODE_1651	3323913	3324871
NODE_1651	3326585	3327293
NODE_1651	3330437	3330800
NODE_1657	3315866	3316543
NODE_1657	3318229	3318354
NODE_1657	3320008	3321112
NODE_1657	3323973	3324530
NODE_1657	3326368	3326881
NODE_1657	3328512	3330773
NODE_1658	3316165	3316875
NODE_1663	3306832	3307302
NODE_1667	3306946	3307290
NODE_1667	3315526	3316981
NODE_1667	3330783	3330824
NODE_1669	3306817	3330800
NODE_1669	3333739	3333883
NODE_1671	3307744	3315227
NODE_1671	3317218	3318028
NODE_1671	3319822	3330077
NODE_1673	1698268	1698346
NODE_1673	1699921	1703224
NODE_1673	1705887	1713487
NODE_1673	1723017	1739601
NODE_1673	1741957	1744322
NODE_1673	1746586	1753781
NODE_1673	1756710	1760681
NODE_1673	1762323	1763919
NODE_1673	1765410	1792794
NODE_1673	1808556	1809690
NODE_1673	1813151	1817561
NODE_1673	1821401	1822700
NODE_1673	1833252	1841322
NODE_1673	1843802	1845373
NODE_1673	1847658	1848303
NODE_1673	1852967	1853327
NODE_1673	2117940	2118100
NODE_1673	3312634	3313504
NODE_1673	3317218	3318028
NODE_1673	3322110	3323763
NODE_1673	3325423	3330077
NODE_1673	3474521	3474770
NODE_1673	3489639	3489816
NODE_1673	3491421	3492261
NODE_1673	3499555	3501928
NODE_1673	3504007	3505151
NODE_1674	1698076	1701984
NODE_1674	1707480	1714516
NODE_1674	1717349	1760345
NODE_1674	1761796	1792791
NODE_1674	1808532	1809681
NODE_1674	1813046	1817366
NODE_1674	1821574	1822884
NODE_1674	1832344	1838800
NODE_1674	1840478	1845619
NODE_1674	1847481	1848937
NODE_1674	1853159	1853384
NODE_1674	3307744	3309577
NODE_1674	3317310	3318010
NODE_1674	3319822	3327567
NODE_1674	3329363	3330007
NODE_1674	3474548	3474665
NODE_1674	3489645	3489828
NODE_1674	3491400	3492267
NODE_1674	3499553	3501925
NODE_1674	3504041	3505138
