Parameter	Posterior Mean	Posterior Variance	a_post	b_post
GCA_021727285.1	3.60445e-07	6.58684e-14	1.97243	5.47221e+06
GCA_021727355.1	7.14834e-07	1.30622e-13	3.91195	5.47253e+06
GCA_021727415.1	7.21351e-07	1.31892e-13	3.94524	5.46924e+06
GCA_021727455.1	2.19767e-07	4.01763e-14	1.20214	5.47008e+06
GCA_021727495.1	5.37454e-07	9.82097e-14	2.94122	5.47251e+06
GCA_021727555.1	1.06963e-06	1.95446e-13	5.85382	5.47275e+06
GCA_021727595.1	5.38419e-07	9.83847e-14	2.94654	5.47259e+06
GCA_021727615.1	3.60131e-07	6.58081e-14	1.97079	5.47244e+06
GCA_021727635.1	3.63977e-07	6.65179e-14	1.99164	5.47187e+06
GCA_021727655.1	1.82731e-07	3.33903e-14	1.00001	5.47259e+06
GCA_021727815.1	5.55765e-07	1.01566e-13	3.04111	5.47194e+06
GCA_021727855.1	3.5685e-07	6.52188e-14	1.95254	5.47159e+06
GCA_022011535.1	7.15184e-07	1.30681e-13	3.91404	5.47277e+06
GCA_022052845.1	1.82754e-07	3.33973e-14	1.00005	5.47211e+06
GCA_022053725.1	8.92536e-07	1.63149e-13	4.88277	5.47067e+06
GCA_022053745.1	1.82864e-07	3.3422e-14	1.00052	5.47137e+06
GCA_022184565.1	8.92348e-07	1.63053e-13	4.88361	5.47276e+06
GCA_022261555.1	5.37732e-07	9.82559e-14	2.94289	5.47277e+06
GCA_022261595.1	6.35701e-07	1.16275e-13	3.47551	5.46721e+06
GCA_022261715.1	3.6121e-07	6.60114e-14	1.97651	5.47193e+06
GCA_022261755.1	3.60137e-07	6.58051e-14	1.97095	5.47278e+06
GCA_022261875.1	3.60186e-07	6.58163e-14	1.97116	5.4726e+06
GCA_022261895.1	7.14907e-07	1.3063e-13	3.91252	5.47277e+06
GCA_022261935.1	3.60155e-07	6.58222e-14	1.97063	5.47162e+06
GCA_022261975.1	1.82732e-07	3.33906e-14	1.00001	5.47254e+06
GCA_022262095.1	3.60376e-07	6.58507e-14	1.9722	5.47261e+06
GCA_022262135.1	3.60142e-07	6.5806e-14	1.97097	5.47278e+06
GCA_022262175.1	3.60243e-07	6.58246e-14	1.97153	5.47278e+06
GCA_022262655.1	3.59963e-07	6.57733e-14	1.97	5.47278e+06
GCA_022262735.1	3.60321e-07	6.58526e-14	1.97154	5.47162e+06
GCA_022262795.1	3.60277e-07	6.5838e-14	1.97149	5.47217e+06
GCA_022559085.1	7.25096e-07	1.32531e-13	3.96711	5.47115e+06
GCA_022559105.1	5.38741e-07	9.84435e-14	2.94831	5.47259e+06
GCA_022649725.1	7.15293e-07	1.307e-13	3.91463	5.47277e+06
GCA_022828525.1	5.37332e-07	9.81828e-14	2.9407	5.47277e+06
GCA_022828555.1	3.60945e-07	6.59549e-14	1.97531	5.4726e+06
GCA_022850185.1	5.37788e-07	9.82662e-14	2.94319	5.47277e+06
GCA_022850245.1	1.24708e-06	2.27871e-13	6.82494	5.47275e+06
GCA_022850485.1	3.59974e-07	6.57754e-14	1.97006	5.47278e+06
GCA_022850575.1	3.60011e-07	6.5784e-14	1.9702	5.47262e+06
GCA_022850625.1	3.60276e-07	6.58305e-14	1.97171	5.47278e+06
GCA_022850745.1	5.37511e-07	9.82154e-14	2.94167	5.47277e+06
GCA_022850785.1	8.92846e-07	1.63161e-13	4.88581	5.47217e+06
GCA_022850845.1	3.60134e-07	6.58046e-14	1.97093	5.47278e+06
GCA_022850865.1	1.89308e-07	3.4596e-14	1.03588	5.47196e+06
GCA_022851025.1	1.82906e-07	3.3422e-14	1.00098	5.47264e+06
GCA_022851085.1	4.78239e-07	8.74021e-14	2.61678	5.47171e+06
GCA_022851125.1	1.82727e-07	3.33893e-14	1	5.47264e+06
GCA_022851145.1	7.14815e-07	1.30613e-13	3.91201	5.47277e+06
GCA_022851205.1	1.83005e-07	3.34403e-14	1.00152	5.47261e+06
GCA_022851235.1	3.60096e-07	6.57976e-14	1.97073	5.47278e+06
GCA_022851345.1	1.06993e-06	1.95501e-13	5.85547	5.47275e+06
GCA_022851365.1	1.06989e-06	1.95494e-13	5.85524	5.47275e+06
GCA_022851445.1	5.37388e-07	9.81929e-14	2.941	5.47277e+06
GCA_022851515.1	1.82761e-07	3.33966e-14	1.00015	5.47244e+06
GCA_022851665.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_022851785.1	2.56651e-07	4.69017e-14	1.40442	5.47211e+06
GCA_022851815.1	3.60272e-07	6.58298e-14	1.97169	5.47278e+06
GCA_022854875.1	1.62533e-06	2.97185e-13	8.88908	5.46909e+06
GCA_022854975.1	8.92387e-07	1.6306e-13	4.88382	5.47276e+06
GCA_022855045.1	1.24752e-06	2.27951e-13	6.82734	5.47275e+06
GCA_022855225.1	3.60301e-07	6.58412e-14	1.97167	5.47227e+06
GCA_022855305.1	5.37736e-07	9.82566e-14	2.94291	5.47277e+06
GCA_022855405.1	5.37537e-07	9.82202e-14	2.94182	5.47277e+06
GCA_022855535.1	1.42528e-06	2.60432e-13	7.80017	5.47274e+06
GCA_022856185.1	1.82917e-07	3.3424e-14	1.00104	5.47263e+06
GCA_022856235.1	8.93376e-07	1.63245e-13	4.8891	5.47262e+06
GCA_022856265.1	9.32665e-07	1.70468e-13	5.1028	5.47121e+06
GCA_022856545.1	5.61078e-07	1.02539e-13	3.07015	5.47187e+06
GCA_022856745.1	1.42673e-06	2.60705e-13	7.80794	5.4726e+06
GCA_022856775.1	7.15151e-07	1.30674e-13	3.91385	5.47277e+06
GCA_022856865.1	7.13607e-07	1.3042e-13	3.90459	5.47162e+06
GCA_022856875.1	7.15172e-07	1.30678e-13	3.91397	5.47277e+06
GCA_022857585.1	7.14832e-07	1.30616e-13	3.91211	5.47277e+06
GCA_022857775.1	1.08289e-06	1.98004e-13	5.92235	5.46902e+06
GCA_022857825.1	2.0028e-07	3.66133e-14	1.09556	5.47014e+06
GCA_022857865.1	5.86601e-07	1.07205e-13	3.20974	5.47176e+06
GCA_022858455.1	2.13602e-06	3.90314e-13	11.6895	5.47257e+06
GCA_022858785.1	1.24958e-06	2.28663e-13	6.82861	5.46473e+06
GCA_022859085.1	1.42473e-06	2.60332e-13	7.79719	5.47274e+06
GCA_022859165.1	1.82801e-07	3.34044e-14	1.00036	5.47237e+06
GCA_022859345.1	7.14727e-07	1.30597e-13	3.91153	5.47277e+06
GCA_022859385.1	5.37602e-07	9.82322e-14	2.94218	5.47277e+06
GCA_022859465.1	1.06995e-06	1.95505e-13	5.85557	5.47275e+06
GCA_022859505.1	5.37585e-07	9.8229e-14	2.94208	5.47277e+06
GCA_022859965.1	3.60182e-07	6.58133e-14	1.97119	5.47278e+06
GCA_022860085.1	5.37377e-07	9.8191e-14	2.94094	5.47277e+06
GCA_022860465.1	8.92524e-07	1.63085e-13	4.88457	5.47276e+06
GCA_022860645.1	7.14805e-07	1.30611e-13	3.91196	5.47277e+06
GCA_022860665.1	3.60103e-07	6.58009e-14	1.97071	5.47262e+06
GCA_022860685.1	5.37969e-07	9.82991e-14	2.94418	5.47277e+06
GCA_022861005.1	2.04722e-07	3.7431e-14	1.11969	5.46933e+06
GCA_022861025.1	1.06987e-06	1.9549e-13	5.85514	5.47275e+06
GCA_022861065.1	7.15059e-07	1.30658e-13	3.91335	5.47277e+06
GCA_022861295.1	8.92878e-07	1.6315e-13	4.88651	5.47276e+06
GCA_022861365.1	1.42484e-06	2.60352e-13	7.79779	5.47274e+06
GCA_022861485.1	3.59975e-07	6.57755e-14	1.97006	5.47278e+06
GCA_022861855.1	5.37715e-07	9.82528e-14	2.94279	5.47277e+06
GCA_022862105.1	3.60271e-07	6.58324e-14	1.9716	5.47255e+06
GCA_022862125.1	5.37443e-07	9.82031e-14	2.94131	5.47277e+06
GCA_022862175.1	3.603e-07	6.5835e-14	1.97184	5.47278e+06
GCA_022862385.1	1.82729e-07	3.33897e-14	1	5.4726e+06
GCA_022862395.1	3.60352e-07	6.58444e-14	1.97212	5.47278e+06
GCA_022862425.1	1.07071e-06	1.95648e-13	5.85955	5.47261e+06
GCA_022862665.1	3.60106e-07	6.57995e-14	1.97078	5.47278e+06
GCA_022862765.1	5.37598e-07	9.82314e-14	2.94215	5.47277e+06
GCA_022862785.1	8.927e-07	1.63117e-13	4.88553	5.47276e+06
GCA_022862875.1	3.60082e-07	6.57951e-14	1.97065	5.47278e+06
GCA_022862885.1	8.92394e-07	1.63061e-13	4.88386	5.47276e+06
GCA_022862905.1	5.37531e-07	9.8219e-14	2.94178	5.47277e+06
GCA_022862965.1	1.77944e-06	3.25147e-13	9.73839	5.47273e+06
GCA_022863095.1	3.60048e-07	6.57889e-14	1.97046	5.47278e+06
GCA_022863145.1	3.60165e-07	6.58103e-14	1.9711	5.47278e+06
GCA_023806175.1	5.37336e-07	9.81834e-14	2.94072	5.47277e+06
GCA_023887825.1	6.71722e-07	1.22775e-13	3.67511	5.47118e+06
GCA_023889225.1	3.60411e-07	6.58552e-14	1.97245	5.47278e+06
GCA_023889265.1	3.60295e-07	6.58341e-14	1.97182	5.47278e+06
GCA_023889285.1	3.60092e-07	6.57969e-14	1.9707	5.47278e+06
GCA_023889305.1	5.37403e-07	9.81957e-14	2.94108	5.47277e+06
